,year,award,category,game_name
297,2000,Mensa Select,General,Time's Up!
298,2000,Mensa Select,General,Zertz
299,1999,Mensa Select,General,Apples to Apples
300,1999,Mensa Select,General,Bollox (Bōku)
301,1999,Mensa Select,General,Doubles Wild
302,1999,Mensa Select,General,Fluxx
303,1999,Mensa Select,General,Quiddler
304,1998,Mensa Select,General,Avalam
305,1998,Mensa Select,General,Cube Checkers
306,1998,Mensa Select,General,Kram
307,1998,Mensa Select,General,Spy Alley
308,1998,Mensa Select,General,Wadjet
309,1997,Mensa Select,General,Hattrick!
310,1997,Mensa Select,General,Quoridor
311,1997,Mensa Select,General,Rush Hour
312,1997,Mensa Select,General,Sagarian
313,1997,Mensa Select,General,Stops
314,1996,Mensa Select,General,Pirateer
315,1996,Mensa Select,General,Quadwrangle
316,1996,Mensa Select,General,Rat-a-Tat Cat
317,1996,Mensa Select,General,6 nimmt!
318,1996,Mensa Select,General,Touche'
319,1995,Mensa Select,General,Continuo
320,1995,Mensa Select,General,Duo
321,1995,Mensa Select,General,Quixo
322,1995,Mensa Select,General,The Great Dalmuti
323,1995,Mensa Select,General,Word Spin Scramble
324,1994,Mensa Select,General,Char
325,1994,Mensa Select,General,Chung Toi
326,1994,Mensa Select,General,Down Fall
327,1994,Mensa Select,General,Magic: The Gathering
328,1994,Mensa Select,General,Pyraos (aka Pylos)
329,1993,Mensa Select,General,Farook
330,1993,Mensa Select,General,Inklings
331,1993,Mensa Select,General,Overturn
332,1993,Mensa Select,General,Quadrature
333,1993,Mensa Select,General,Quarto!
334,1992,Mensa Select,General,Kinesis
335,1992,Mensa Select,General,Q4
336,1992,Mensa Select,General,Terrace
337,1992,Mensa Select,General,Traverse
338,1992,Mensa Select,General,Why Not?
339,1991,Mensa Select,General,Clue: The Great Museum Caper
340,1991,Mensa Select,General,Lapis
341,1991,Mensa Select,General,Master Labyrinth
342,1991,Mensa Select,General,Pyramis
343,1991,Mensa Select,General,Set
344,1990,Mensa Select,General,Abalone
345,1990,Mensa Select,General,Scattergories
346,1990,Mensa Select,General,Taboo
347,1990,Mensa Select,General,TriBond
348,1990,Mensa Select,General,Trivial Pursuit: Genus Edition
349,2023,Premio JdA,General,SCOUT
350,2022,Premio JdA,General,Hibachi
351,2021,Premio JdA,General,Kingdom Builder
352,2020,Premio JdA,General,La Tripulación
353,2019,Premio JdA,General,El Dorado
354,2018,Premio JdA,General,Azul
355,2017,Premio JdA,General,Dice Forge
356,2016,Premio JdA,General,Pandemic Legacy
357,2015,Premio JdA,General,Colt Express
358,2014,Premio JdA,General,Jaipur
359,2013,Premio JdA,General,Las Leyendas de Andor
360,2012,Premio JdA,General,Santiago de Cuba
361,2011,Premio JdA,General,La Isla Prohibida
362,2010,Premio JdA,General,Fauna
363,2009,Premio JdA,General,Dixit
364,2008,Premio JdA,General,Agricola
365,2007,Premio JdA,General,Los pilares de la Tierra
366,2006,Premio JdA,General,Exploradores
367,2005,Premio JdA,General,¡Aventureros al tren!
368,2025,Spiel des Jahres,General,Bomb Busters
369,2024,Spiel des Jahres,General,Sky Team
370,2023,Spiel des Jahres,General,Dorfromantik
371,2022,Spiel des Jahres,General,Cascadia
372,2021,Spiel des Jahres,General,Micromacro: Crime City
373,2020,Spiel des Jahres,General,Pictures
374,2019,Spiel des Jahres,General,Just One
375,2018,Spiel des Jahres,General,Azul
376,2017,Spiel des Jahres,General,Kingdomino
377,2016,Spiel des Jahres,General,Codenames
378,2015,Spiel des Jahres,General,Colt Express
379,2014,Spiel des Jahres,General,Camel Up
380,2013,Spiel des Jahres,General,Hanabi
381,2012,Spiel des Jahres,General,Kingdom Builder
382,2011,Spiel des Jahres,General,Qwirkle
383,2010,Spiel des Jahres,General,Dixit
384,2009,Spiel des Jahres,General,Dominion
385,2008,Spiel des Jahres,General,Keltis
386,2007,Spiel des Jahres,General,Zooloretto
387,2006,Spiel des Jahres,General,Thurn and Taxis
388,2005,Spiel des Jahres,General,Niagara
389,2004,Spiel des Jahres,General,Ticket to Ride
390,2003,Spiel des Jahres,General,Alhambra
391,2002,Spiel des Jahres,General,Villa Paletti
392,2001,Spiel des Jahres,General,Carcassonne
393,2000,Spiel des Jahres,General,Torres
394,1999,Spiel des Jahres,General,Tikal
395,1998,Spiel des Jahres,General,Elfenland
396,1997,Spiel des Jahres,General,Mississippi Queen
397,1996,Spiel des Jahres,General,El Grande
398,1995,Spiel des Jahres,General,The Settlers of Catan
399,1994,Spiel des Jahres,General,Manhattan
400,1993,Spiel des Jahres,General,Call My Bluff
401,1992,Spiel des Jahres,General,Um Reifenbreite
402,1991,Spiel des Jahres,General,Drunter und Drüber
403,1990,Spiel des Jahres,General,Hoity Toity
404,1989,Spiel des Jahres,General,Café International
405,1988,Spiel des Jahres,General,Barbarossa
406,1987,Spiel des Jahres,General,Auf Achse
407,1986,Spiel des Jahres,General,Top Secret Spies
408,1985,Spiel des Jahres,General,Sherlock Holmes: Consulting Detective
409,1984,Spiel des Jahres,General,Railway Rivals
410,1983,Spiel des Jahres,General,Scotland Yard
411,1982,Spiel des Jahres,General,Enchanted Forest
412,1981,Spiel des Jahres,General,Focus
413,1980,Spiel des Jahres,General,Rummikub
414,1979,Spiel des Jahres,General,Hare and Tortoise
415,2025,Spiel des Jahre,Kennerspiel des Jahres,Endeavor: Deep Sea
416,2024,Spiel des Jahre,Kennerspiel des Jahres,Daybreak
417,2023,Spiel des Jahre,Kennerspiel des Jahres,Challengers!
418,2022,Spiel des Jahre,Kennerspiel des Jahres,Living Forest
419,2021,Spiel des Jahre,Kennerspiel des Jahres,Paleo
420,2019,Spiel des Jahre,Kennerspiel des Jahres,Wingspan
421,2018,Spiel des Jahre,Kennerspiel des Jahres,Die Quacksalber von Quedlinburg
422,2017,Spiel des Jahre,Kennerspiel des Jahres,EXIT: The Game
423,2016,Spiel des Jahre,Kennerspiel des Jahres,Isle of Skye: From Chieftain to King
424,2015,Spiel des Jahre,Kennerspiel des Jahres,Broom Service
425,2014,Spiel des Jahre,Kennerspiel des Jahres,Istanbul
426,2013,Spiel des Jahre,Kennerspiel des Jahres,Legends of Andor
427,2012,Spiel des Jahre,Kennerspiel des Jahres,Village
428,2011,Spiel des Jahre,Kennerspiel des Jahres,7 Wonders
429,2025,Spiel des Jahre,Kinderspiel des Jahres,Top the cake
430,2024,Spiel des Jahre,Kinderspiel des Jahres,The Magic Keys
431,2023,Spiel des Jahre,Kinderspiel des Jahres,Mysterium Kids
432,2022,Spiel des Jahre,Kinderspiel des Jahres,Magic Mountain
433,2021,Spiel des Jahre,Kinderspiel des Jahres,Dragomino
434,2020,Spiel des Jahre,Kinderspiel des Jahres,Speedy Roll
435,2019,Spiel des Jahre,Kinderspiel des Jahres,Valley of the Vikings
436,2018,Spiel des Jahre,Kinderspiel des Jahres,Funkelschatz
437,2017,Spiel des Jahre,Kinderspiel des Jahres,Ice Cool
438,2016,Spiel des Jahre,Kinderspiel des Jahres,My First Stone Age
439,2015,Spiel des Jahre,Kinderspiel des Jahres,Spinderella
440,2014,Spiel des Jahre,Kinderspiel des Jahres,"Geister, Geister, Schatzsuchmeister!"
441,2013,Spiel des Jahre,Kinderspiel des Jahres,Der verzauberte Turm
442,2012,Spiel des Jahre,Kinderspiel des Jahres,Schnappt Hubi!
443,2011,Spiel des Jahre,Kinderspiel des Jahres,Da ist der Wurm drin
444,2010,Spiel des Jahre,Kinderspiel des Jahres,Diego Drachenzahn
445,2009,Spiel des Jahre,Kinderspiel des Jahres,Das magische Labyrinth
446,2008,Spiel des Jahre,Kinderspiel des Jahres,Wer war's?
447,2007,Spiel des Jahre,Kinderspiel des Jahres,Beppo der Bock
448,2006,Spiel des Jahre,Kinderspiel des Jahres,Der schwarze Pirat
449,2005,Spiel des Jahre,Kinderspiel des Jahres,Das Kleine Gespenst
450,2004,Spiel des Jahre,Kinderspiel des Jahres,Spooky Stairs
451,2003,Spiel des Jahre,Kinderspiel des Jahres,Viva Topo!
452,2002,Spiel des Jahre,Kinderspiel des Jahres,Maskenball der Käfer
453,2001,Spiel des Jahre,Kinderspiel des Jahres,Klondike
454,2000,Spiel des Jahre,Kinderspiel des Jahres,Arbos
455,1999,Spiel des Jahre,Kinderspiel des Jahres,Kayanak
456,1998,Spiel des Jahre,Kinderspiel des Jahres,Chicken Cha Cha Cha
457,1997,Spiel des Jahre,Kinderspiel des Jahres,Leinen los!
458,1996,Spiel des Jahre,Kinderspiel des Jahres,Vier zu mir!
459,1995,Spiel des Jahre,Kinderspiel des Jahres,Karambolage
460,1994,Spiel des Jahre,Kinderspiel des Jahres,Loopin' Louie
461,1993,Spiel des Jahre,Kinderspiel des Jahres,Ringel-Rangel
462,1992,Spiel des Jahre,Kinderspiel des Jahres,Galloping Pigs
463,1991,Spiel des Jahre,Kinderspiel des Jahres,Piraten-Abenteuer
464,1990,Spiel des Jahre,Kinderspiel des Jahres,My Haunted Castle
465,1989,Spiel des Jahre,Kinderspiel des Jahres,Gute Freunde
